original_file,size_of_file,retain_data,loss_in_data,encrpyt_time,decrypt_time
1_30 am - i hear my roommate sucking ass at guitar.mp4,183083,100.0,0.0,46.003,113.598
A PARK IN BOTSWANA.mp4,395086,100.0,0.0,197.739,503.219
Cat Faceplant.mp4,329006,100.0,0.0,127.759,346.724
Colin's Bear Animation.mp4,101244,100.0,0.0,14.607,34.712
Eminem is not a rapper.mp4,76239,100.0,0.0,8.236,20.182
Go! Bwaaaah.mp4,140068,100.0,0.0,24.783,64.924
Ha Ha Ha Ha.mp4,208507,100.0,0.0,52.79,142.633
"Hey, you shaved real good today! - Neil deGrasse Tyson.mp4",142851,100.0,0.0,25.888,67.205
Jay Z's Accountant - super short comedy.mp4,341693,100.0,0.0,138.31,373.887
Jesus is the Bread (ORIGINAL) 2006.mp4,342440,100.0,0.0,140.494,375.542
Neil deGrasse Tyson explains the future of space exploration in 4 seconds.mp4,233134,100.0,0.0,65.575,176.013
Price is Right contestant gets outed! Sort of.mp4,365984,100.0,0.0,158.725,425.908
robot offers advice.mp4,229916,100.0,0.0,63.384,169.795
Thats what you get for eating biscuits for Breakfast.mp4,309415,100.0,0.0,112.906,305.446
The Worst Guy.mp4,262005,100.0,0.0,83.863,223.21
There's a dk on my back.mp4,363930,100.0,0.0,159.44,423.48
There's a dk on my back.webm,198161,100.0,0.0,47.742,126.971
Why you heff to be mad (Original).mp4,197135,100.0,0.0,47.887,126.502
